child_slug,parent_slug,reviewer,review_batch,rationale,source_citation
alcoholic-beverage,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
almond,nut,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
almonds,nut,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
animal-derived,ingredient,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
apple-juice,beverage,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
arborio-rice,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
avocado,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bacon,pork,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
baguette,bread,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bakery,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
baking-powder,leavening,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
baking-soda,leavening,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
banana,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
barbecue-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
basil,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bay-leaf,herb,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bean,legume,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
beans,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
beef,meat,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
beef-stock,,operator-corrective-review-v2,full-ontology-resolution-v2,Inactive duplicate has no primary edge,frozen-eval-v3.11:primary-parent-review
bell-pepper,capsicum,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
berry,fruit,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
beverage,prepared-food,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bibimbap,prepared-meal,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
bitters,flavoring,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
black-bean,bean,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
black-bean-salad,salad,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
black-bean-sauce,sauce,operator-corrective-review-v2,full-ontology-resolution-v2,Explicit reviewed primary parent,frozen-eval-v3.11:primary-parent-review
