child_slug,previous_parent_slug,new_parent_slug,change_kind,review_state,reviewer,review_batch,rationale,source_citation
alcoholic-beverage,beverage,beverage,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
almond,ingredient,nut,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
almonds,tree-nuts,nut,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
animal-derived,,ingredient,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
apple-juice,,beverage,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
arborio-rice,rice,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
avocado,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bacon,pork,pork,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
baguette,bread,bread,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bakery,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
baking-powder,leavening-agent,leavening,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
baking-soda,leavening-agent,leavening,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
banana,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
barbecue-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
basil,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bay-leaf,,herb,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bean,,legume,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
beans,legume,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
beef,stock,meat,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
beef-stock,stock,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bell-pepper,,capsicum,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
berry,fruit,fruit,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
beverage,,prepared-food,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bibimbap,prepared-meal,prepared-meal,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bitters,flavoring,flavoring,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
black-bean,,bean,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
black-bean-salad,salad,salad,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
black-bean-sauce,sauce,sauce,unchanged,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
black-beans,beans,legume,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
blueberries,berry,,removed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
blueberry,,fruit,added,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
bread,grain,bakery,changed,reviewed,operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed corrective topology transition,frozen legacy/v3 parent comparison
