connector,metadata_schema_version,namespace,provider_ref,title_hash,normalized_local_label,review_key,required_cohort,legacy_occurrences,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-61,f9c9baac9006160a6d84a09e77cbfeac349c861513e1786ea447e00198068e20,abacate,a9cf33db13d74b58f59f8faba076652555b6825a4046afc94ac2eb5ce2b6c219,,48,D1,avocado,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-352,4452df579db4f1b15d9a759f28f41edd966aaa91e048f4c1f79d891e22bc3e25,alho,ef3fb95198134489bde92997271b5bedb5b5fb768f19fc802303d1a39520f834,,314,D2,garlic,"{""form"":""clove""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-363,7824e0764d79dd525f665d48e0038138cd069fce242b1d8a7b0f6b41f1a3d1be,bagietki,5d108ca478dc0de9c1e1eb69b8816874ccd7091c78a1d16b3f9e9b3169059f68,,1,D1,baguette,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-7649,afa7af0632831a4bd4fd013eac922b0f7cdff7285cff8b47e9e54a5ed0a4cf36,bbq sauce,b1bb536ea1d0e6b71f52c658f49b8587837e53145647c9026b5c91a47ccb332b,,6,D1,barbecue-sauce,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-314,33489e83683cb827ea1372996f80c4b0bf4ce77f6e990ea1c8504026de27c7fa,białego octu winnego,e4e8ea11463a6d65edf2f188a033573bd6768dea4973be5bca7ca6de284647f1,,24,D2,vinegar,"{""variety"":""white_wine""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-490,570da856e0100c159843eba8c056965f662551540b5a6026e987515b49ed4fdc,bột súp gà,607145df042f9911a2a10f575eb5e9afb8f6caa8fb9bffb6faea1999ef80c23b,,2,D2,stock-paste,"{""form"":""paste"",""species"":""chicken"",""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-411,1bf97a5826eff60bad3fb7cc4a24deaec2d1c04a1663218624f854f26499339e,cardamom pods,e5cb41e9b0f0f136c7544936a9a1c3927e0958e12697b8ece6b6f5292806eb79,,104,D2,cardamom,"{""form"":""pod""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-259,885e64fbba0a02fe96ca2e9b7a1cd9832aa11aacc9a31168e1dcb338e9572132,cebolo spring onion,c8a9b9866cb9a523b2f774dac4ae0c8ea480538a3291c731b7cb3b8987b24903,,49,D1,spring-onion,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-18,288971671685b8da56623362c82e1ead68186c5150a35e3b35b5ef74cd7ceebc,cebuli,f895b0e23b5c82b4825e71b4addb7a698ca11378f58f733f29afd64022e4b4cc,,189,D1,onion,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-490,570da856e0100c159843eba8c056965f662551540b5a6026e987515b49ed4fdc,chicken stock paste homemade,fd9e96d1612433fb4b15c0650379e8dc6cc7998db0bd59bcbb45f2c1f15748dd,,68,D2,stock-paste,"{""form"":""paste"",""species"":""chicken"",""variety"":""chicken""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-259,885e64fbba0a02fe96ca2e9b7a1cd9832aa11aacc9a31168e1dcb338e9572132,chopped spring onions,c4af63df4677601d32ff28e92448ca568a51f81dd684e07933921970782ff440,,2,D1,spring-onion,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-151,af8378fd29c209e2003a26c6b646a09f2661e6a9855b74f27b0532987a9c0436,cooking oil,ce81ea2830897d7b3b50285d6af766cb85539fc425d739e216434225faccfb84,,191,D2,oil,"{""variety"":""vegetable""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-19,591a1c804dc4592231a213790656fc651026e3754e38f89c1520b6958e46ca02,cukinii,e9dd59eb2528bd69d3ad7cebdec17a69f93ca1ebf8e0c4942e5c2a94bfee8033,,40,D1,zucchini,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-9,cc767fb1c6efc232caf9dd1f6e853d853b58ddd2c058c8820320e69d755c18fb,cukru,54acce46feca20782bf701041e5b0ab5bd5d5172255c581d493dd908397549ea,,317,D1,sugar,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-352,4452df579db4f1b15d9a759f28f41edd966aaa91e048f4c1f79d891e22bc3e25,d ail,f7c54f17e771eb8fb243b2bf00b4e7368c2a9fa3c65d6eb94118ebc18d2d904c,,194,D2,garlic,"{""form"":""clove""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-61,f9c9baac9006160a6d84a09e77cbfeac349c861513e1786ea447e00198068e20,d avocat,bb5c693f0732e61181eae4086c4ed70b5766f77516e1f13e794c1f2ca7ad3005,,17,D1,avocado,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-2765,67aa6b6c143c668356e0bf2568c44deafba7758bc84b5d53372d41cab0d5fa98,de ají de color o paprika,14399d6699c9c1b97e6e935668cd8cb43386a63efaa1d8662fdee4de349bc498,,8,D1,paprika,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-393,e3b1927cc8a763ef27c7ed0fd4923cef7a2dd56d7431ca2f36c68031cb1358a2,de caldo de verduras en pasta,85a18a8fa624c877cc3c24b4fffe6993e363d4215b13891a36bf6a038b2e54fd,,7,D2,stock-paste,"{""form"":""paste"",""variety"":""vegetable""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-46,a0d92592fbf2d89fdca2631774ae813178a8a28f886f4be9e19414dcdcaf2d17,de jugo de limón,994625dc85a4b9e56752fd641f33d50d646a475e5c0e0c1c23f0b4059dab0740,,60,D1,lemon-juice,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-91,69ee4b5bc8e1c92dbc567c463def732a20fb9c51d3abf3ac030a25f663636f2f,de lait de coco,2a5d02a3ff729790e0d8ab4c01ef84352e516634eab5041ffa23565144c0e70b,,196,D1,coconut-milk,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-1138,2a3c68716e774fffb2dee83c066531c7dbaa13768ab49caf07bc73a24b027053,de mayonesa,69fc99a4c3e55e6e78451b8b4b1d4868aeb36f8889919438edfb8061e03107c4,,48,D1,mayonnaise,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-2765,67aa6b6c143c668356e0bf2568c44deafba7758bc84b5d53372d41cab0d5fa98,de pimentón,0e4ed18ad475ffa0d08dca32b434ef588491e689c5f91fd41b336d2e6b7aacd4,,57,D1,paprika,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-63,330ef099cde2127854ca50b5747c77b7f5b0d909e97c3a969c06b907f84b6e71,de queso parmesano,e9ba9765ee72c1b8939646a7793f7ea65b83d1d3afa0b26b4d588b9716358d47,,130,D1,parmesan,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-25,69a9d240344e1e06ae6fccbce4c8904dae23dddbed90deb01dc596a525b98089,de sal marina,c06d542a2ede3310f0fec641a82ac1831bbd3d78a7d8d7c1be235ae8f837134a,,10,D2,salt,"{""salt_class"":""sea""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
cookidoo,ingredient-topology-v1,com.vorwerk.ingredients.Ingredient-rpf,com.vorwerk.ingredients.Ingredient-rpf-136,330958a77f98de6b476ac51c9561cc83cdcc9b47eb4e573be16bdd1e3eeac450,de salsa inglesa,705858466b222dc5c6bad8be0f5057f5138ad9e30db64c5c5f8f7aaaff55b8ea,,14,D1,worcestershire-sauce,[],operator-corrective-review-v2,full-ontology-resolution-v2,Explicit owner-scoped local-label review linked to an independently accepted provider title,frozen provider observations + curated eval ontology audit
