normalized_label,label,language,required_cohort,prior_entity_slugs,prior_mechanisms,prior_occurrences,decision,disposition_code,entity_slug,attributes_json,reviewer,review_batch,rationale,source_citation
aceite,Aceite,es,es,oil,exact_alias,14,retain,D1,oil,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
aceite de oliva,Aceite de oliva,es,es,oil,attribute_alias,63,retain,D2,oil,"{""variety"":""olive""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
acqua,Acqua,it,it,water,exact_alias,223,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
agua,Agua,es,es,water,exact_alias,70,retain,D1,water,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
all purpose flour,All Purpose Flour,en,,flour,attribute_alias,667,retain,D2,flour,"{""form"":""flour"",""refinement"":""all_purpose""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
almond,Almond,und,,almond,exact_alias,1,retain,D1,almond,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
almond flour,Almond Flour,en,,flour,attribute_alias,36,retain,D2,flour,"{""form"":""flour"",""variety"":""almond""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
almond milk,Almond Milk,en,,milk-alternative,attribute_alias,83,retain,D2,milk-alternative,"{""variety"":""almond""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
almonds,Almonds,und,,almond,attribute_alias,143,retain,D1,almond,{},operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
apple cider vinegar,Apple Cider Vinegar,en,,vinegar,attribute_alias,290,retain,D2,vinegar,"{""variety"":""apple_cider""}",operator-corrective-review-v2,full-ontology-resolution-v2,Explicitly reviewed safe prior accepted identity,curated-ontology-v3-review-fixes/eval-ontology-audit.json
